YearStart,LocationDesc,Question,Data_Value
2015,Alaska,Percentage of older adults who reported binge drinking within the past 30 days,13.669230769230769
2015,Alaska,Percentage of older adults who reported influenza vaccine within the past year,44.193333333333335
2015,Alaska,"Percentage of older adults who self-reported that their health is ""fair"" or ""poor""",21.779999999999998
2015,Alaska,"Percentage of older adults who self-reported that their health is ""good"", ""very good"", or ""excellent""",78.22
2015,Alaska,Percentage of older adults with a lifetime diagnosis of depression,16.12142857142857
2015,Alaska,Percentage of older adults without diabetes who reported a blood sugar or diabetes test within 3 years,62.67333333333333
2015,Alaska,Physically unhealthy days (mean number of days in past month),4.953333333333333
2015,Alaska,Severe joint pain due to arthritis among older adults with doctor-diagnosed arthritis,
2015,Arizona,Fair or poor health among older adults with doctor-diagnosed arthritis,40.593333333333334
2015,Arizona,Mean number of days with activity limitations in the past month,6.375
2015,Arizona,"Percentage of at risk adults (have diabetes, asthma, cardiovascular disease or currently smoke) who ever had a pneumococcal vaccine",57.6764705882353
2015,Arizona,Percentage of older adults ever told they have arthritis,39.78
2015,Arizona,"Percentage of older adults who are currently obese, with a body mass index (BMI) of 30 or more",30.605882352941173
2015,Arizona,Percentage of older adults who are eating 2 or more fruits daily,29.99473684210526
2015,Arizona,Percentage of older adults who are eating 3 or more vegetables daily,18.506666666666668
2015,Arizona,Percentage of older adults who are experiencing frequent mental distress,10.48125
2015,Arizona,Percentage of older adults who had a cholesterol screening within the past 5 years,90.255
2015,Arizona,Percentage of older adults who have been told they have high blood pressure who report currently taking medication for their high blood pressure,84.63125
2015,Arizona,Percentage of older adults who have ever been told by a health professional that they have high blood pressure,49.455
2015,Arizona,Percentage of older adults who have not had any leisure time physical activity in the past month,29.105555555555554
2015,Arizona,Percentage of older adults who have smoked at least 100 cigarettes in their entire life and still smoke every day or some days,13.65625
2015,Arizona,Percentage of older adults who reported binge drinking within the past 30 days,8.285714285714286
2015,Arizona,Percentage of older adults who reported influenza vaccine within the past year,43.38947368421052
2015,Arizona,"Percentage of older adults who self-reported that their health is ""fair"" or ""poor""",29.626315789473683
2015,Arizona,"Percentage of older adults who self-reported that their health is ""good"", ""very good"", or ""excellent""",71.455
2015,Arizona,Percentage of older adults with a lifetime diagnosis of depression,20.441176470588236
2015,Arizona,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,40.83846153846154
2015,Arizona,Physically unhealthy days (mean number of days in past month),5.622222222222223
2015,Arizona,Severe joint pain due to arthritis among older adults with doctor-diagnosed arthritis,31.493333333333332
2015,Arkansas,Fair or poor health among older adults with doctor-diagnosed arthritis,45.78
2015,Arkansas,Mean number of days with activity limitations in the past month,8.06
2015,Arkansas,"Percentage of at risk adults (have diabetes, asthma, cardiovascular disease or currently smoke) who ever had a pneumococcal vaccine",57.22666666666667
2015,Arkansas,Percentage of older adults ever told they have arthritis,49.1375
2015,Arkansas,"Percentage of older adults who are currently obese, with a body mass index (BMI) of 30 or more",35.8375
2015,Arkansas,Percentage of older adults who are eating 2 or more fruits daily,22.95625
2015,Arkansas,Percentage of older adults who are eating 3 or more vegetables daily,13.13076923076923
2015,Arkansas,Percentage of older adults who are experiencing frequent mental distress,13.264285714285714
2015,Arkansas,Percentage of older adults who had a cholesterol screening within the past 5 years,91.625
2015,Arkansas,Percentage of older adults who have been told they have high blood pressure who report currently taking medication for their high blood pressure,91.12666666666668
2015,Arkansas,Percentage of older adults who have ever been told by a health professional that they have high blood pressure,64.35
2015,Arkansas,Percentage of older adults who have not had any leisure time physical activity in the past month,39.28666666666666
2015,Arkansas,Percentage of older adults who have smoked at least 100 cigarettes in their entire life and still smoke every day or some days,18.707142857142856
2015,Arkansas,Percentage of older adults who reported binge drinking within the past 30 days,7.536363636363637
2015,Arkansas,Percentage of older adults who reported influenza vaccine within the past year,47.8
2015,Arkansas,"Percentage of older adults who self-reported that their health is ""fair"" or ""poor""",36.625
2015,Arkansas,"Percentage of older adults who self-reported that their health is ""good"", ""very good"", or ""excellent""",63.375
2015,Arkansas,Percentage of older adults with a lifetime diagnosis of depression,23.392857142857142
2015,Arkansas,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,38.353846153846156
2015,Arkansas,Physically unhealthy days (mean number of days in past month),6.53125
2015,Arkansas,Severe joint pain due to arthritis among older adults with doctor-diagnosed arthritis,37.17333333333333
2015,California,Fair or poor health among older adults with doctor-diagnosed arthritis,38.63333333333333
2015,California,Mean number of days with activity limitations in the past month,6.34
2015,California,"Percentage of at risk adults (have diabetes, asthma, cardiovascular disease or currently smoke) who ever had a pneumococcal vaccine",55.67999999999999
2015,California,Percentage of older adults ever told they have arthritis,37.16818181818182
2015,California,"Percentage of older adults who are currently obese, with a body mass index (BMI) of 30 or more",25.976190476190474
2015,California,Percentage of older adults who are eating 2 or more fruits daily,34.4
2015,California,Percentage of older adults who are eating 3 or more vegetables daily,20.08095238095238
2015,California,Percentage of older adults who are experiencing frequent mental distress,10.844444444444443
2015,California,Percentage of older adults who had a cholesterol screening within the past 5 years,91.3409090909091
2015,California,Percentage of older adults who have been told they have high blood pressure who report currently taking medication for their high blood pressure,86.10952380952381
2015,California,Percentage of older adults who have ever been told by a health professional that they have high blood pressure,50.86363636363637
2015,California,Percentage of older adults who have not had any leisure time physical activity in the past month,21.61904761904762
2015,California,Percentage of older adults who have smoked at least 100 cigarettes in their entire life and still smoke every day or some days,10.123529411764705
2015,California,Percentage of older adults who reported binge drinking within the past 30 days,9.41764705882353
2015,California,Percentage of older adults who reported influenza vaccine within the past year,50.37619047619048
2015,California,"Percentage of older adults who self-reported that their health is ""fair"" or ""poor""",27.276190476190475
2015,California,"Percentage of older adults who self-reported that their health is ""good"", ""very good"", or ""excellent""",73.45
2015,California,Percentage of older adults with a lifetime diagnosis of depression,14.799999999999999
2015,California,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,43.73636363636364
2015,California,Physically unhealthy days (mean number of days in past month),5.240909090909091
2015,California,Severe joint pain due to arthritis among older adults with doctor-diagnosed arthritis,34.28333333333333
2015,Colorado,Fair or poor health among older adults with doctor-diagnosed arthritis,31.86875
2015,Colorado,Mean number of days with activity limitations in the past month,5.7875
2015,Colorado,"Percentage of at risk adults (have diabetes, asthma, cardiovascular disease or currently smoke) who ever had a pneumococcal vaccine",63.682352941176475
2015,Colorado,Percentage of older adults ever told they have arthritis,42.315
2015,Colorado,"Percentage of older adults who are currently obese, with a body mass index (BMI) of 30 or more",24.27777777777778
2015,Colorado,Percentage of older adults who are eating 2 or more fruits daily,32.752631578947366
2015,Colorado,Percentage of older adults who are eating 3 or more vegetables daily,18.5
2015,Colorado,Percentage of older adults who are experiencing frequent mental distress,8.16875
2015,Colorado,Percentage of older adults who had a cholesterol screening within the past 5 years,90.28947368421052
2015,Colorado,Percentage of older adults who have been told they have high blood pressure who report currently taking medication for their high blood pressure,83.78888888888889
2015,Colorado,Percentage of older adults who have ever been told by a health professional that they have high blood pressure,45.295
2015,Colorado,Percentage of older adults who have not had any leisure time physical activity in the past month,23.155555555555555
2015,Colorado,Percentage of older adults who have smoked at least 100 cigarettes in their entire life and still smoke every day or some days,17.883333333333333
2015,Colorado,Percentage of older adults who reported binge drinking within the past 30 days,9.114285714285714
2015,Colorado,Percentage of older adults who reported influenza vaccine within the past year,52.464999999999996
2015,Colorado,"Percentage of older adults who self-reported that their health is ""fair"" or ""poor""",23.565
2015,Colorado,"Percentage of older adults who self-reported that their health is ""good"", ""very good"", or ""excellent""",76.435
2015,Colorado,Percentage of older adults with a lifetime diagnosis of depression,20.383333333333333
2015,Colorado,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,46.725
2015,Colorado,Physically unhealthy days (mean number of days in past month),5.16
2015,Colorado,Severe joint pain due to arthritis among older adults with doctor-diagnosed arthritis,25.95
2015,Connecticut,Fair or poor health among older adults with doctor-diagnosed arthritis,35.75555555555556
2015,Connecticut,Mean number of days with activity limitations in the past month,5.833333333333333
2015,Connecticut,"Percentage of at risk adults (have diabetes, asthma, cardiovascular disease or currently smoke) who ever had a pneumococcal vaccine",57.766666666666666
2015,Connecticut,Percentage of older adults ever told they have arthritis,39.56111111111111
2015,Connecticut,"Percentage of older adults who are currently obese, with a body mass index (BMI) of 30 or more",29.82222222222222
2015,Connecticut,Percentage of older adults who are eating 2 or more fruits daily,34.605000000000004
2015,Connecticut,Percentage of older adults who are eating 3 or more vegetables daily,15.836842105263157
2015,Connecticut,Percentage of older adults who are experiencing frequent mental distress,10.476470588235294
2015,Connecticut,Percentage of older adults who had a cholesterol screening within the past 5 years,93.71000000000001
2015,Connecticut,Percentage of older adults who have been told they have high blood pressure who report currently taking medication for their high blood pressure,84.6
2015,Connecticut,Percentage of older adults who have ever been told by a health professional that they have high blood pressure,51.8
2015,Connecticut,Percentage of older adults who have not had any leisure time physical activity in the past month,28.875
2015,Connecticut,Percentage of older adults who have smoked at least 100 cigarettes in their entire life and still smoke every day or some days,12.805882352941175
2015,Connecticut,Percentage of older adults who reported binge drinking within the past 30 days,9.25625
2015,Connecticut,Percentage of older adults who reported influenza vaccine within the past year,53.995000000000005
2015,Connecticut,"Percentage of older adults who self-reported that their health is ""fair"" or ""poor""",25.549999999999997
2015,Connecticut,"Percentage of older adults who self-reported that their health is ""good"", ""very good"", or ""excellent""",76.53
2015,Connecticut,Percentage of older adults with a lifetime diagnosis of depression,17.283333333333335
2015,Connecticut,Physically unhealthy days (mean number of days in past month),5.033333333333333
2015,Connecticut,Severe joint pain due to arthritis among older adults with doctor-diagnosed arthritis,30.522222222222222
2015,Delaware,Fair or poor health among older adults with doctor-diagnosed arthritis,33.21333333333333
2015,Delaware,Mean number of days with activity limitations in the past month,6.1
2015,Delaware,"Percentage of at risk adults (have diabetes, asthma, cardiovascular disease or currently smoke) who ever had a pneumococcal vaccine",58.84
2015,Delaware,Percentage of older adults ever told they have arthritis,46.14375
2015,Delaware,"Percentage of older adults who are currently obese, with a body mass index (BMI) of 30 or more",32.23125
2015,Delaware,Percentage of older adults who are eating 2 or more fruits daily,30.79375
2015,Delaware,Percentage of older adults who are eating 3 or more vegetables daily,15.5
2015,Delaware,Percentage of older adults who are experiencing frequent mental distress,9.85
2015,Delaware,Percentage of older adults who had a cholesterol screening within the past 5 years,93.06875
2015,Delaware,Percentage of older adults who have been told they have high blood pressure who report currently taking medication for their high blood pressure,87.88666666666667
2015,Delaware,Percentage of older adults who have ever been told by a health professional that they have high blood pressure,55.456250000000004
2015,Delaware,Percentage of older adults who have not had any leisure time physical activity in the past month,33.875
2015,Delaware,Percentage of older adults who have smoked at least 100 cigarettes in their entire life and still smoke every day or some days,16.62857142857143
2015,Delaware,Percentage of older adults who reported binge drinking within the past 30 days,8.392307692307693
2015,Delaware,Percentage of older adults who reported influenza vaccine within the past year,53.4375
2015,Delaware,"Percentage of older adults who self-reported that their health is ""fair"" or ""poor""",23.34375
2015,Delaware,"Percentage of older adults who self-reported that their health is ""good"", ""very good"", or ""excellent""",76.65625
2015,Delaware,Percentage of older adults with a lifetime diagnosis of depression,17.513333333333332
2015,Delaware,Physically unhealthy days (mean number of days in past month),4.6875
2015,Delaware,Severe joint pain due to arthritis among older adults with doctor-diagnosed arthritis,31.89333333333333
2015,District of Columbia,Fair or poor health among older adults with doctor-diagnosed arthritis,32.16428571428572
2015,District of Columbia,Mean number of days with activity limitations in the past month,5.986666666666666
2015,District of Columbia,"Percentage of at risk adults (have diabetes, asthma, cardiovascular disease or currently smoke) who ever had a pneumococcal vaccine",55.88
2015,District of Columbia,Percentage of older adults ever told they have arthritis,40.61333333333334
2015,District of Columbia,"Percentage of older adults who are currently obese, with a body mass index (BMI) of 30 or more",29.6
2015,District of Columbia,Percentage of older adults who are eating 2 or more fruits daily,36.36
2015,District of Columbia,Percentage of older adults who are eating 3 or more vegetables daily,21.14
2015,District of Columbia,Percentage of older adults who are experiencing frequent mental distress,9.313333333333333
2015,District of Columbia,Percentage of older adults who had a cholesterol screening within the past 5 years,93.1125
2015,District of Columbia,Percentage of older adults who have been told they have high blood pressure who report currently taking medication for their high blood pressure,88.58666666666666
2015,District of Columbia,Percentage of older adults who have ever been told by a health professional that they have high blood pressure,53.233333333333334
2015,District of Columbia,Percentage of older adults who have not had any leisure time physical activity in the past month,23.5
2015,District of Columbia,Percentage of older adults who have smoked at least 100 cigarettes in their entire life and still smoke every day or some days,17.39333333333333
2015,District of Columbia,Percentage of older adults who reported binge drinking within the past 30 days,9.093333333333334
2015,District of Columbia,Percentage of older adults who reported influenza vaccine within the past year,48.22666666666667
2015,District of Columbia,"Percentage of older adults who self-reported that their health is ""fair"" or ""poor""",20.366666666666667
2015,District of Columbia,"Percentage of older adults who self-reported that their health is ""good"", ""very good"", or ""excellent""",79.175
2015,District of Columbia,Percentage of older adults with a lifetime diagnosis of depression,19.546666666666667
2015,District of Columbia,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,49.36923076923077
2015,District of Columbia,Percentage of older adults without diabetes who reported a blood sugar or diabetes test within 3 years,72.24666666666667
2015,District of Columbia,Physically unhealthy days (mean number of days in past month),4.826666666666667
2015,District of Columbia,Severe joint pain due to arthritis among older adults with doctor-diagnosed arthritis,40.107142857142854
2015,Florida,Average of 20 or more hours of care per week provided to a friend or family member,32.01538461538461
2015,Florida,Fair or poor health among older adults with doctor-diagnosed arthritis,38.32222222222222
2015,Florida,Mean number of days with activity limitations in the past month,7.055555555555555
2015,Florida,"Percentage of at risk adults (have diabetes, asthma, cardiovascular disease or currently smoke) who ever had a pneumococcal vaccine",54.43888888888889
2015,Florida,Percentage of older adults currently not providing care who expect to provide care for someone with health problems in the next two years,21.91111111111111
2015,Florida,Percentage of older adults ever told they have arthritis,42.544444444444444
2015,Florida,"Percentage of older adults who are currently obese, with a body mass index (BMI) of 30 or more",30.33888888888889
2015,Florida,Percentage of older adults who are eating 2 or more fruits daily,32.27777777777778
2015,Florida,Percentage of older adults who are eating 3 or more vegetables daily,17.555555555555557
2015,Florida,Percentage of older adults who are experiencing frequent mental distress,12.788888888888888
2015,Florida,Percentage of older adults who had a cholesterol screening within the past 5 years,92.22105263157896
2015,Florida,Percentage of older adults who have been told they have high blood pressure who report currently taking medication for their high blood pressure,89.90555555555555
2015,Florida,Percentage of older adults who have ever been told by a health professional that they have high blood pressure,52.67894736842105
2015,Florida,Percentage of older adults who have not had any leisure time physical activity in the past month,32.49444444444444
2015,Florida,Percentage of older adults who have smoked at least 100 cigarettes in their entire life and still smoke every day or some days,14.823529411764707
2015,Florida,Percentage of older adults who provided care for a friend or family member within the past month,22.950000000000003
2015,Florida,Percentage of older adults who provided care for someone with dementia or other cognitive impairment within the past month,8.0125
2015,Florida,Percentage of older adults who provided care to a friend or family member for six months or more,67.22142857142858
2015,Florida,Percentage of older adults who reported binge drinking within the past 30 days,9.366666666666667
2015,Florida,Percentage of older adults who reported influenza vaccine within the past year,37.31666666666667
2015,Florida,"Percentage of older adults who self-reported that their health is ""fair"" or ""poor""",26.533333333333335
2015,Florida,"Percentage of older adults who self-reported that their health is ""good"", ""very good"", or ""excellent""",74.13157894736842
2015,Florida,Percentage of older adults with a lifetime diagnosis of depression,18.26111111111111
2015,Florida,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,48.23636363636364
2015,Florida,Physically unhealthy days (mean number of days in past month),5.638888888888889
2015,Florida,Severe joint pain due to arthritis among older adults with doctor-diagnosed arthritis,36.77222222222222
2015,Georgia,Fair or poor health among older adults with doctor-diagnosed arthritis,39.62
2015,Georgia,Mean number of days with activity limitations in the past month,7.546666666666667
2015,Georgia,"Percentage of at risk adults (have diabetes, asthma, cardiovascular disease or currently smoke) who ever had a pneumococcal vaccine",54.36
2015,Georgia,Percentage of older adults ever told they have arthritis,44.3
2015,Georgia,"Percentage of older adults who are currently obese, with a body mass index (BMI) of 30 or more",34.45333333333333
2015,Georgia,Percentage of older adults who are eating 2 or more fruits daily,25.793333333333333
2015,Georgia,Percentage of older adults who are eating 3 or more vegetables daily,13.333333333333334
2015,Georgia,Percentage of older adults who are experiencing frequent mental distress,11.08
2015,Georgia,Percentage of older adults who had a cholesterol screening within the past 5 years,94.02666666666667
2015,Georgia,Percentage of older adults who have been told they have high blood pressure who report currently taking medication for their high blood pressure,91.21333333333334
2015,Georgia,Percentage of older adults who have ever been told by a health professional that they have high blood pressure,61.68666666666666
2015,Georgia,Percentage of older adults who have not had any leisure time physical activity in the past month,31.733333333333334
2015,Georgia,Percentage of older adults who have smoked at least 100 cigarettes in their entire life and still smoke every day or some days,16.18
2015,Georgia,Percentage of older adults who reported binge drinking within the past 30 days,7.492857142857143
2015,Georgia,Percentage of older adults who reported influenza vaccine within the past year,45.96
2015,Georgia,"Percentage of older adults who self-reported that their health is ""fair"" or ""poor""",26.966666666666665
2015,Georgia,"Percentage of older adults who self-reported that their health is ""good"", ""very good"", or ""excellent""",73.03333333333333
2015,Georgia,Percentage of older adults with a lifetime diagnosis of depression,18.44
2015,Georgia,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,44.08571428571429
2015,Georgia,Percentage of older adults without diabetes who reported a blood sugar or diabetes test within 3 years,68.32666666666667
2015,Georgia,Physically unhealthy days (mean number of days in past month),5.7
2015,Georgia,Severe joint pain due to arthritis among older adults with doctor-diagnosed arthritis,34.84666666666667
2015,Guam,Fair or poor health among older adults with doctor-diagnosed arthritis,35.03333333333333
2015,Guam,Mean number of days with activity limitations in the past month,6.444444444444445
2015,Guam,"Percentage of at risk adults (have diabetes, asthma, cardiovascular disease or currently smoke) who ever had a pneumococcal vaccine",34.375
2015,Guam,Percentage of older adults ever told they have arthritis,34.66428571428572
2015,Guam,"Percentage of older adults who are currently obese, with a body mass index (BMI) of 30 or more",29.528571428571432
2015,Guam,Percentage of older adults who are eating 2 or more fruits daily,33.43571428571429
2015,Guam,Percentage of older adults who are eating 3 or more vegetables daily,21.515384615384615
2015,Guam,Percentage of older adults who are experiencing frequent mental distress,8.457142857142857
2015,Guam,Percentage of older adults who had a cholesterol screening within the past 5 years,85.61428571428573
2015,Guam,Percentage of older adults who have been told they have high blood pressure who report currently taking medication for their high blood pressure,86.89999999999999
2015,Guam,Percentage of older adults who have ever been told by a health professional that they have high blood pressure,52.49285714285714
2015,Guam,Percentage of older adults who have not had any leisure time physical activity in the past month,39.90714285714286
2015,Guam,Percentage of older adults who have smoked at least 100 cigarettes in their entire life and still smoke every day or some days,26.369999999999997
2015,Guam,Percentage of older adults who reported binge drinking within the past 30 days,25.014285714285712
2015,Guam,Percentage of older adults who reported influenza vaccine within the past year,40.892857142857146
2015,Guam,"Percentage of older adults who self-reported that their health is ""fair"" or ""poor""",27.246153846153845
2015,Guam,"Percentage of older adults who self-reported that their health is ""good"", ""very good"", or ""excellent""",73.67142857142858
2015,Guam,Percentage of older adults with a lifetime diagnosis of depression,11.833333333333334
2015,Guam,Percentage of older adults without diabetes who reported a blood sugar or diabetes test within 3 years,68.38461538461539
2015,Guam,Physically unhealthy days (mean number of days in past month),5.292857142857143
2015,Guam,Severe joint pain due to arthritis among older adults with doctor-diagnosed arthritis,34.544444444444444
2015,Hawaii,Average of 20 or more hours of care per week provided to a friend or family member,35.019999999999996
2015,Hawaii,Fair or poor health among older adults with doctor-diagnosed arthritis,27.058823529411764
2015,Hawaii,Mean number of days with activity limitations in the past month,5.735294117647059
2015,Hawaii,"Percentage of at risk adults (have diabetes, asthma, cardiovascular disease or currently smoke) who ever had a pneumococcal vaccine",53.970588235294116
2015,Hawaii,Percentage of older adults currently not providing care who expect to provide care for someone with health problems in the next two years,15.84705882352941
2015,Hawaii,Percentage of older adults ever told they have arthritis,32.68333333333333
2015,Hawaii,"Percentage of older adults who are currently obese, with a body mass index (BMI) of 30 or more",22.733333333333334
2015,Hawaii,Percentage of older adults who are eating 2 or more fruits daily,31.194444444444443
2015,Hawaii,Percentage of older adults who are eating 3 or more vegetables daily,21.233333333333334
2015,Hawaii,Percentage of older adults who are experiencing frequent mental distress,7.676470588235294
2015,Hawaii,Percentage of older adults who had a cholesterol screening within the past 5 years,91.07222222222222
2015,Hawaii,Percentage of older adults who have been told they have high blood pressure who report currently taking medication for their high blood pressure,86.28888888888889
2015,Hawaii,Percentage of older adults who have ever been told by a health professional that they have high blood pressure,47.666666666666664
2015,Hawaii,Percentage of older adults who have not had any leisure time physical activity in the past month,23.01764705882353
2015,Hawaii,Percentage of older adults who have smoked at least 100 cigarettes in their entire life and still smoke every day or some days,10.047058823529412
2015,Hawaii,Percentage of older adults who provided care for a friend or family member within the past month,19.73888888888889
2015,Hawaii,Percentage of older adults who provided care for someone with dementia or other cognitive impairment within the past month,17.153333333333332
2015,Hawaii,Percentage of older adults who provided care to a friend or family member for six months or more,65.90666666666667
2015,Hawaii,Percentage of older adults who reported binge drinking within the past 30 days,12.594117647058823
2015,Hawaii,Percentage of older adults who reported influenza vaccine within the past year,50.42777777777778
2015,Hawaii,"Percentage of older adults who self-reported that their health is ""fair"" or ""poor""",18.433333333333334
2015,Hawaii,"Percentage of older adults who self-reported that their health is ""good"", ""very good"", or ""excellent""",81.56666666666666
2015,Hawaii,Percentage of older adults with a lifetime diagnosis of depression,12.435294117647059
2015,Hawaii,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,37.57333333333334
2015,Hawaii,Physically unhealthy days (mean number of days in past month),4.288888888888889
2015,Hawaii,Severe joint pain due to arthritis among older adults with doctor-diagnosed arthritis,21.20625
2015,Idaho,Average of 20 or more hours of care per week provided to a friend or family member,24.84166666666667
2015,Idaho,Fair or poor health among older adults with doctor-diagnosed arthritis,25.825
2015,Idaho,Mean number of days with activity limitations in the past month,5.3307692307692305
2015,Idaho,"Percentage of at risk adults (have diabetes, asthma, cardiovascular disease or currently smoke) who ever had a pneumococcal vaccine",55.35833333333333
2015,Idaho,Percentage of older adults currently not providing care who expect to provide care for someone with health problems in the next two years,18.033333333333335
2015,Idaho,Percentage of older adults ever told they have arthritis,42.385714285714286
2015,Idaho,"Percentage of older adults who are currently obese, with a body mass index (BMI) of 30 or more",33.621428571428574
2015,Idaho,Percentage of older adults who are eating 2 or more fruits daily,28.471428571428568
2015,Idaho,Percentage of older adults who are eating 3 or more vegetables daily,16.599999999999998
2015,Idaho,Percentage of older adults who are experiencing frequent mental distress,7.791666666666667
2015,Idaho,Percentage of older adults who had a cholesterol screening within the past 5 years,87.07857142857142
2015,Idaho,Percentage of older adults who have been told they have high blood pressure who report currently taking medication for their high blood pressure,78.33333333333333
2015,Idaho,Percentage of older adults who have ever been told by a health professional that they have high blood pressure,50.364285714285714
2015,Idaho,Percentage of older adults who have not had any leisure time physical activity in the past month,26.07857142857143
2015,Idaho,Percentage of older adults who have smoked at least 100 cigarettes in their entire life and still smoke every day or some days,12.484615384615385
2015,Idaho,Percentage of older adults who provided care for a friend or family member within the past month,24.25
2015,Idaho,Percentage of older adults who provided care for someone with dementia or other cognitive impairment within the past month,7.470000000000001
2015,Idaho,Percentage of older adults who provided care to a friend or family member for six months or more,69.50833333333334
2015,Idaho,Percentage of older adults who reported binge drinking within the past 30 days,8.708333333333334
2015,Idaho,Percentage of older adults who reported influenza vaccine within the past year,45.34285714285714
2015,Idaho,"Percentage of older adults who self-reported that their health is ""fair"" or ""poor""",22.72142857142857
2015,Idaho,"Percentage of older adults who self-reported that their health is ""good"", ""very good"", or ""excellent""",77.27857142857144
2015,Idaho,Percentage of older adults with a lifetime diagnosis of depression,18.953846153846154
2015,Idaho,Physically unhealthy days (mean number of days in past month),5.071428571428571
2015,Idaho,Severe joint pain due to arthritis among older adults with doctor-diagnosed arthritis,20.883333333333333
2015,Illinois,Average of 20 or more hours of care per week provided to a friend or family member,28.361538461538462
2015,Illinois,Fair or poor health among older adults with doctor-diagnosed arthritis,35.85
2015,Illinois,Mean number of days with activity limitations in the past month,5.552941176470589
2015,Illinois,"Percentage of at risk adults (have diabetes, asthma, cardiovascular disease or currently smoke) who ever had a pneumococcal vaccine",54.39375
2015,Illinois,Percentage of older adults currently not providing care who expect to provide care for someone with health problems in the next two years,18.61875
2015,Illinois,Percentage of older adults ever told they have arthritis,40.95
2015,Illinois,"Percentage of older adults who are currently obese, with a body mass index (BMI) of 30 or more",36.666666666666664
